Smiles,Molecule Name,Standard Value,Standard Units
Ic1cc(F)c(Nc2c(F)c(F)c(CN3C(=O)CCCO3)cc2C(=O)NOCCO)cc1,RO-4987655,30000,nM
Fc1c(C(=O)NC)ccc(C2=Nn3c(Cc4cc5c(nccc5)cc4)cnc3N=C2)c1,CAPMATINIB,30000,nM
S(=O)(=O)(N(C(=O)C)c1c(/C=C/c2cc[n+]([O-])cc2)cccc1)c1ccc(OC)cc1,HMN-214,30000,nM
S(c1c(C(=O)NC)cccc1)c1cc2[nH]nc(/C=C/c3ncccc3)c2cc1,AXITINIB,30000,nM
S(Cc1oc(C(C)(C)C)cn1)c1sc(NC(=O)C2CCNCC2)nc1,BMS-387032,30000,nM
FC(F)(F)c1cc(NC(=O)c2cc(Nc3nc(-c4cnccc4)ccn3)c(C)cc2)cc(-n2cc(C)nc2)c1,NILOTINIB,30000,nM
O=C1NCc2c3c4n([C@]5(C)[C@@](O)(CO)C[C@@](O5)n5c4c(c4c5cccc4)c12)c1c3cccc1,LESTAURTINIB,30000,nM
O=C(Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2)cc1)C1NCCC1,XL-019,30000,nM
Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCCN2CCOCC2)c3)c1,CANERTINIB,30000,nM
O=C1[C@@]2(O)[C@](C)CC[C@](O2)C[C@](OC)/C(/C)=C/C=C/C=C/[C@@](C)C[C@@](C)C(=O)[C@](OC)[C@](O)/C(/C)=C/[C@@](C)C(=O)C[C@@]([C@@](C[C@]2C[C@@](OC)[C@](OCCO)CC2)C)OC(=O)[C@]2N(C1=O)CCCC2,EVEROLIMUS,30000,nM
C(n1nnc(-c2cc3c([nH]nc3)cc2)c1)c1c(C)cc(C)cc1,,10000,nM
NC=1N=Cn2c(nc(-c3ccccc3)c2)C=1,,100000,nM
Nc1n[nH]c2nnc(c(-c3ccccc3)c12)-c1ccccc1,,10000,nM
N(C(C)C)c1c(-c2cc3c([nH]nc3)cc2)nc2n1C=CC=N2,,5011.8701,nM
O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1ccc(OC)cc1,,10000,nM
Clc1cc(Nc2c(c(-c3ccc(O)cc3)n[nH]2)-c2ccc(O)cc2)ccc1,,3981.0701,nM
O=C(NN=Cc1sccc1)c1c(n(-c2c(N)non2)nn1)-c1ccccc1,,10000,nM
Brc1c2n(nc1)C=C(c1ccc(OC)cc1)C=N2,,10000,nM
O=C1c2c(n(C)nc2)CCC1,,25118.859,nM
O=C(Nc1n[nH]c2nc3c(cc12)cccc3)CCC,,10000,nM
O=C(n1nc(N)c2c1ccc(-c1nnn(Cc3ccccc3)c1)c2)C1CCN(C)CC1,,10000,nM
O(CCCN)c1cc(-c2ccc(Nc3oc4c(n3)cccc4)cc2)c2c(C(=O)NC2)c1,,10000,nM
O=C(Nc1cc(C)ccc1)Nc1ccc(-c2c3c(N)ncc(C#CCN(C)C)c3sc2)cc1,,10000,nM
O=C(NC(CO)c1ccccc1)c1ccc(-c2ccncc2)cc1,,5011.8701,nM
Brc1ccc(-c2c3c(N)n[nH]c3ccc2)cc1,,5011.8701,nM
Fc1c(N2CC(N)CC2)c(F)cc2C(=O)C(C(=O)O)=C3SCC(C)N3c12,,10000,nM
Clc1c(Nc2c(S(=O)(=O)C(C)C)cccc2)nc(Nc2c(OC)cc(N3CCC(N4CCN(C)CC4)CC3)cc2)nc1,TAE-684,10000,nM
N(Nc1[nH]c2c(n1)cccc2)=Cc1c2c([nH]c1)cccc2,,10000,nM
O=C1NCc2c3c4n([C@]5(C)[C@](OC)[C@](NC)C[C@@](O5)n5c4c(c4c5cccc4)c12)c1c3cccc1,STAUROSPORINE,5,nM
Clc1c(C[C@](NC(=O)c2sc(-c3nc(NC)ncc3)cc2)C(=O)OC)ccc(Cl)c1,,2400,nM
Fc1c(CNC=2C(=O)C(=O)C=2Nc2ccncc2)cccc1,,5011.8701,nM
Fc1ccc(-c2c(-c3nc(NCC(CO)(C)C)ncc3)n3c(n2)C=NC=C3)cc1,,10000,nM
O(CC1N(C)CC1)c1cc(CCc2ccncc2)cnc1,,10000,nM
Fc1cc(-c2c3c(sc(C(=O)OC)c3)cnc2)ccc1,,10000,nM
Ic1nn(C2C(O)C(O)C(CO)O2)c2ncnc(N)c12,,10000,nM
N#Cc1c(-c2ccccc2)c2c(C)n[nH]c2nc1,,10000,nM
O=C(Nc1ccc(NC(=O)c2c3c(N)ncnc3sc2)cc1)Nc1ccccc1,,10000,nM
Clc1cc(NC(=O)Nc2ccc(-c3c4c(N)nccc4sc3)cc2)ccc1,,10000,nM
O=C(NCCCCCCNC(=O)Nc1cnccc1)Nc1cnccc1,,10000,nM
Oc1c(-c2ncc(CN3CCOCC3)cc2)c2c([nH]1)ccc(C#N)c2,AZD-1080,10000,nM
S(=O)(=O)(N)c1ccc(CNC(=O)c2nc(OCC)c(C#N)c(N)c2)cc1,,10000,nM
Clc1cc2C(c3c(F)cccc3OC)=NCc3c(nc(Nc4cc(OC)c(C(=O)O)cc4)nc3)-c2cc1,ALISERTIB,10000,nM
Fc1c(Nc2oc3c(C)cc(C)cc3n2)ccc(-c2c(N)c(C(=O)N)ccc2)c1,,10000,nM
Fc1cc2C(=Cc3c(C)c(C(=O)NCCN(CC)CC)c(C)[nH]3)C(=O)Nc2cc1,,6309.5698,nM
FC(F)(F)c1cc(NC(=O)Nc2ccc(-c3c(N)c4nccnc4cc3)cc2)ccc1,,10000,nM
Brc1cc(NC(=O)Nc2ccc(-c3c4c(N)noc4c(OC)cc3)cc2)ccc1,,10000,nM
Clc1ccc(CNC2=Nn3c(-c4ccccc4)nnc3C=C2)cc1,,10000,nM
Oc1n(C2CCN(Cc3ccc(-c4c(-c5ccccc5)nc(CC(C)C)c(O)n4)cc3)CC2)c2c(n1)cccc2,,21870,nM
O=C(O)c1cc2nc(c(-c3ccc(CN4CCC(N5C(=O)Nc6c5cccc6)CC4)cc3)nc2cc1)-c1ccccc1,,50000,nM
O=C(Nc1cc(-c2c(-c3nc(Nc4cc(N5CCOCC5)ccc4)ncc3)n3c(SC=C3)n2)ccc1)Cc1ccccc1,,1000,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)C)CCCCN)CCCNC(=N)N,,2,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1nnn(-c2ncnc3[nH]cnc23)c1)CCCCN)CCCNC(=N)N,,27000,nM
O=C(NCCCCCC(=O)N[C@@](C(=O)NCCCCCC(=O)N[C@@](C(=O)N[C@@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCCN)Nc1ccc(C(=O)N)cc1,,100000,nM
